prob,tag,it,R,best,n_x_distintos,n_acqf_distintos,tem_dup,decl_ok,naive_ok,decl_pares,naive_pares,best_eh_ultimo,marcada_ultima,n_marcadas
BBOB_F1,s42,1,50,30,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,2,50,1,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,3,50,1,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,4,50,16,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,5,50,26,50,50,False,False,False,5,5,False,True,1
BBOB_F1,s42,6,50,35,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,7,50,0,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,8,50,17,50,50,False,False,False,1,1,False,True,1
BBOB_F1,s42,9,50,9,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,10,50,24,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,11,50,20,50,50,False,False,False,3,3,False,True,1
BBOB_F1,s42,12,50,25,50,50,False,False,False,2,2,False,True,1
BBOB_F1,s42,13,50,34,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,14,50,13,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,15,50,27,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,16,50,47,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,17,50,44,50,50,False,False,False,1,1,False,True,1
BBOB_F1,s42,18,50,41,50,50,False,False,False,1,1,False,True,1
BBOB_F1,s42,19,50,11,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,20,50,10,50,50,False,False,False,8,8,False,True,1
BBOB_F1,s42,21,50,15,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,22,50,33,50,50,False,False,False,1,1,False,True,1
BBOB_F1,s42,23,50,19,50,50,False,True,True,0,0,False,True,1
BBOB_F1,s42,24,50,29,50,50,False,False,False,3,3,False,True,1
BBOB_F1,s42,25,50,47,50,50,False,True,True,0,0,False,True,1
