problema,geracao,n,n_unicos,n_doe
BBOB_F1,1,20,20,20
BBOB_F1,2,20,16,8
BBOB_F1,3,20,14,3
BBOB_F1,4,20,16,2
BBOB_F1,5,20,16,0
BBOB_F1,6,20,16,0
BBOB_F1,7,20,14,0
BBOB_F1,8,20,15,0
BBOB_F1,9,20,15,0
BBOB_F1,10,20,14,0
BBOB_F1,11,20,16,0
BBOB_F1,12,20,16,0
BBOB_F17,1,20,20,20
BBOB_F17,2,20,13,2
BBOB_F17,3,20,11,0
BBOB_F17,4,20,11,0
BBOB_F17,5,20,12,0
BBOB_F17,6,20,11,0
BBOB_F17,7,20,12,0
BBOB_F17,8,20,13,0
BBOB_F17,9,20,12,0
BBOB_F17,10,20,12,0
BBOB_F17,11,20,12,0
BBOB_F17,12,20,12,0
BBOB_F17,13,20,11,0
BBOB_F17,14,20,11,0
BBOB_F22,1,20,20,20
BBOB_F22,2,20,15,4
BBOB_F22,3,20,14,3
BBOB_F22,4,20,12,3
BBOB_F22,5,20,12,3
BBOB_F22,6,20,13,1
BBOB_F22,7,20,13,1
BBOB_F22,8,20,12,0
BBOB_F22,9,20,11,0
BBOB_F22,10,20,11,0
BBOB_F22,11,20,12,0
BBOB_F22,12,20,12,0
BBOB_F22,13,20,11,0
BBOB_F22,14,20,11,0
BBOB_F37,1,20,20,20
BBOB_F37,2,20,18,10
BBOB_F37,3,20,15,5
BBOB_F37,4,20,13,2
BBOB_F37,5,20,13,1
BBOB_F37,6,20,14,0
BBOB_F37,7,20,15,0
BBOB_F37,8,20,14,0
BBOB_F37,9,20,16,0
BBOB_F37,10,20,16,0
BBOB_F37,11,20,15,0
BBOB_F37,12,20,15,0
BBOB_F37,13,20,15,0
BBOB_F49,1,20,20,20
BBOB_F49,2,20,14,4
BBOB_F49,3,20,11,1
BBOB_F49,4,20,11,1
BBOB_F49,5,20,12,0
BBOB_F49,6,20,11,0
BBOB_F49,7,20,11,0
BBOB_F49,8,20,11,0
BBOB_F49,9,20,12,0
BBOB_F49,10,20,12,0
BBOB_F49,11,20,12,0
BBOB_F49,12,20,12,0
BBOB_F49,13,20,12,0
BBOB_F49,14,20,12,0
BBOB_F5,1,20,20,20
BBOB_F5,2,20,16,6
BBOB_F5,3,20,13,2
BBOB_F5,4,20,11,0
BBOB_F5,5,20,11,0
BBOB_F5,6,20,11,0
BBOB_F5,7,20,11,0
BBOB_F5,8,20,11,0
BBOB_F5,9,20,11,0
BBOB_F5,10,20,11,0
BBOB_F5,11,20,12,0
BBOB_F5,12,20,11,0
BBOB_F5,13,20,11,0
BBOB_F5,14,20,11,0
BBOB_F55,1,20,20,20
BBOB_F55,2,20,18,12
BBOB_F55,3,20,15,6
BBOB_F55,4,20,13,4
BBOB_F55,5,20,13,2
BBOB_F55,6,20,12,2
BBOB_F55,7,20,13,2
BBOB_F55,8,20,12,1
BBOB_F55,9,20,14,1
BBOB_F55,10,20,12,0
BBOB_F55,11,20,15,0
BBOB_F55,12,20,15,0
BBOB_F55,13,20,15,0
DTLZ1,1,15,15,15
DTLZ1,2,15,15,7
DTLZ1,3,15,13,5
DTLZ1,4,15,12,3
DTLZ1,5,15,12,2
DTLZ1,6,15,12,1
DTLZ1,7,15,12,1
DTLZ1,8,15,12,0
DTLZ1,9,15,12,0
DTLZ1,10,15,11,0
DTLZ1,11,15,12,0
DTLZ2,1,15,15,15
DTLZ2,2,15,13,5
DTLZ2,3,15,13,3
DTLZ2,4,15,12,1
DTLZ2,5,15,12,1
DTLZ2,6,15,13,1
DTLZ2,7,15,13,1
DTLZ2,8,15,13,1
DTLZ2,9,15,12,1
DTLZ2,10,15,13,0
DTLZ2,11,15,13,0
DTLZ2,12,15,14,0
DTLZ2,13,15,13,0
DTLZ2,14,15,13,0
DTLZ2,15,15,14,0
DTLZ2,16,15,14,0
DTLZ2,17,15,14,0
DTLZ3,1,15,15,15
DTLZ3,2,15,11,1
DTLZ3,3,15,10,0
DTLZ3,4,15,11,0
DTLZ3,5,15,11,0
DTLZ3,6,15,12,0
DTLZ3,7,15,11,0
DTLZ3,8,15,11,0
DTLZ3,9,15,12,0
DTLZ3,10,15,12,0
DTLZ3,11,15,12,0
DTLZ3,12,15,11,0
DTLZ3,13,15,11,0
DTLZ3,14,15,12,0
DTLZ3,15,15,11,0
DTLZ3,16,15,12,0
DTLZ3,17,15,11,0
DTLZ3,18,15,13,0
DTLZ4,1,15,15,15
DTLZ4,2,15,12,2
DTLZ4,3,15,11,1
DTLZ4,4,15,12,0
DTLZ4,5,15,12,0
DTLZ4,6,15,13,0
DTLZ4,7,15,13,0
DTLZ4,8,15,12,0
DTLZ4,9,15,12,0
DTLZ4,10,15,12,0
DTLZ4,11,15,12,0
DTLZ4,12,15,11,0
DTLZ4,13,15,13,0
DTLZ4,14,15,13,0
DTLZ4,15,15,13,0
DTLZ4,16,15,13,0
DTLZ4,17,15,13,0
DTLZ4,18,15,12,0
DTLZ7,1,15,15,15
DTLZ7,2,15,12,4
DTLZ7,3,15,13,3
DTLZ7,4,15,11,1
DTLZ7,5,15,12,1
DTLZ7,6,15,11,0
DTLZ7,7,15,10,0
DTLZ7,8,15,11,0
DTLZ7,9,15,12,0
DTLZ7,10,15,11,0
DTLZ7,11,15,10,0
DTLZ7,12,15,10,0
DTLZ7,13,15,10,0
DTLZ7,14,15,11,0
DTLZ7,15,15,10,0
DTLZ7,16,15,12,0
DTLZ7,17,15,10,0
DTLZ7,18,15,11,0
DTLZ7,19,15,11,0
DTLZ7,20,15,11,0
DTLZ7,21,15,12,0
DTLZ7,22,15,12,0
DTLZ7,23,15,11,0
DTLZ7,24,15,11,0
DTLZ7,25,15,11,0
DTLZ7,26,15,12,0
DTLZ7,27,15,12,0
DTLZ7,28,15,12,0
DTLZ7,29,15,12,0
DTLZ7,30,15,11,0
DTLZ7,31,15,11,0
DTLZ7,32,15,12,0
DTLZ7,33,15,13,0
MMF1,1,20,20,20
MMF1,2,20,13,8
MMF1,3,20,12,6
MMF11_L,1,20,20,20
MMF11_L,2,20,13,8
MMF11_L,3,20,13,1
MMF16_20,1,15,15,15
MMF16_20,2,15,12,5
MMF16_20,3,15,12,1
MMF16_20,4,15,11,1
MMF16_20,5,15,11,1
MMF16_20,6,15,11,1
MMF16_20,7,15,11,0
MMF16_20,8,15,11,0
MMF16_20,9,15,11,0
MMF16_20,10,15,11,0
MMF16_20,11,15,11,0
MMF16_20,12,15,11,0
MMF16_20,13,15,12,0
MMF16_20,14,15,12,0
MMF16_20,15,15,12,0
MMF16_20,16,15,12,0
MMF16_20,17,15,13,0
MMF16_20,18,15,13,0
MMF16_20,19,15,13,0
MMF16_20,20,15,13,0
MMF16_20,21,15,13,0
MMF16_20,22,15,14,0
MMF16_20,23,15,14,0
MMF16_20,24,15,13,0
MMF16_20,25,15,14,0
MMF16_20,26,15,14,0
MMF16_20,27,15,13,0
MMF16_20,28,15,13,0
MMF16_20,29,15,13,0
MMF4,1,20,20,20
MMF4,2,20,15,11
MMF4,3,20,14,4
WFG1,1,20,20,20
WFG1,2,20,16,7
WFG1,3,20,14,2
WFG1,4,20,13,0
WFG1,5,20,13,0
WFG1,6,20,13,0
WFG1,7,20,13,0
WFG1,8,20,12,0
WFG1,9,20,11,0
WFG1,10,20,11,0
WFG1,11,20,13,0
WFG1,12,20,13,0
WFG1,13,20,13,0
WFG1,14,20,13,0
WFG1,15,20,13,0
WFG1,16,20,13,0
WFG1,17,20,13,0
WFG1,18,20,13,0
WFG1,19,20,13,0
WFG1,20,20,13,0
WFG1,21,20,13,0
WFG1,22,20,13,0
WFG1,23,20,12,0
WFG1,24,20,12,0
WFG1,25,20,13,0
WFG1,26,20,13,0
