problema,obj,w1,wN,c1,cN,corrN,d
BBOB_F1,0,0.120442,0.117948,0.851,0.882,0.919857,-0.020707062320452968
BBOB_F1,1,0.120199,0.12042,0.8585,0.8815,0.919873,0.0018386176257705886
BBOB_F17,0,0.239374,0.207546,0.8925,0.956,0.972529,-0.1329634797429963
BBOB_F17,1,0.388694,0.411776,0.8375,0.8315,0.808999,0.05938347388948631
BBOB_F22,0,0.19022,0.179501,0.8745,0.912,0.923721,-0.05635054147828833
BBOB_F22,1,0.081431,0.079783,0.8015,0.826,0.866904,-0.02023799290196604
BBOB_F37,0,0.083066,0.085155,0.83,0.8435,0.895412,0.025148676955673726
BBOB_F37,1,0.389503,0.4194,0.8125,0.7475,0.760126,0.07675679006323445
BBOB_F49,0,0.304543,0.300483,0.7965,0.7975,0.805009,-0.01333145073109547
BBOB_F49,1,0.05847,0.058402,0.722,0.7485,0.291124,-0.001162989567299446
BBOB_F5,0,0.145076,0.148398,0.728,0.745,0.88921,0.02289834293749477
BBOB_F5,1,0.091156,0.089534,0.7325,0.774,0.852436,-0.01779367238580015
BBOB_F55,0,0.056276,0.056889,0.644,0.712,0.306701,0.010892742909943891
BBOB_F55,1,0.051804,0.055012,0.56,0.7095,0.258603,0.06192572002161986
DTLZ1,0,0.354158,0.35946,0.8375,0.845,0.856691,0.014970719283483726
DTLZ1,1,0.38166,0.348416,0.752,0.784,0.877935,-0.08710370486820729
DTLZ1,2,0.294395,0.285795,0.767,0.75,0.824678,-0.0292124526571443
DTLZ2,0,0.215565,0.261932,0.875,0.841,0.909193,0.21509521490037803
DTLZ2,1,0.191398,0.210622,0.9035,0.9105,0.94614,0.10043992100230927
DTLZ2,2,0.145264,0.159658,0.8815,0.881,0.9233,0.0990885560083709
DTLZ3,0,0.286233,0.26521,0.8175,0.8695,0.905013,-0.07344715668703473
DTLZ3,1,0.259149,0.251835,0.827,0.8455,0.910192,-0.028223145757846034
DTLZ3,2,0.233305,0.217848,0.736,0.7915,0.854266,-0.06625233064014915
DTLZ4,0,0.084554,0.080357,0.74,0.821,0.630036,-0.04963691841899858
DTLZ4,1,2.301561,1.882318,0.9355,0.945,0.318998,-0.1821559367750844
DTLZ4,2,2.531557,3.178302,0.89,0.853,0.159274,0.25547321273034745
DTLZ7,0,0.106625,0.140932,0.978,0.93,0.957251,0.32175381008206333
DTLZ7,1,0.107087,0.135915,0.985,0.938,0.965697,0.2692016771410162
DTLZ7,2,0.029118,0.033345,0.907,0.901,0.927019,0.14516793735833497
MMF1,0,0.198736,0.235756,0.728,0.7565,0.771775,0.18627727236132355
MMF1,1,0.788612,0.738439,0.4085,0.298,-0.040111,-0.06362190785836384
MMF11_L,0,0.062735,0.063613,0.912,0.8875,0.995464,0.013995377381047322
MMF11_L,1,0.149251,0.177293,0.834,0.7895,0.953819,0.18788483829254082
MMF16_20,0,0.221088,0.19502,0.876,0.869,0.95161,-0.11790780141843975
MMF16_20,1,0.201845,0.174557,0.925,0.931,0.962657,-0.1351928459956898
MMF16_20,2,0.14833,0.147895,0.8375,0.8715,0.936191,-0.0029326501719139147
MMF4,0,0.162143,0.231278,0.7365,0.704,0.854219,0.4263828842441548
MMF4,1,0.318045,0.343588,0.597,0.4625,0.405795,0.08031253438978755
WFG1,0,0.004724,0.025515,0.861,0.7965,0.214902,4.4011430990685865
WFG1,1,0.011645,0.089457,0.8155,0.946,0.18955,6.682009446114211
WFG2,0,0.090753,0.09642,0.9355,0.912,0.953626,0.062444216720108484
WFG2,1,0.198133,0.195797,0.4595,0.4605,0.219117,-0.011790060212079788
WFG4,0,0.196961,0.196505,0.6155,0.643,0.698343,-0.002315179147140724
WFG4,1,0.111261,0.11676,0.598,0.65,0.600789,0.049424326583438975
WFG5,0,0.118668,0.096575,0.6,0.7275,0.846942,-0.18617487443961306
WFG5,1,0.161673,0.116514,0.64,0.803,0.860418,-0.279323078064983
WFG9,0,0.244445,0.236531,0.435,0.485,0.366834,-0.03237538096504328
WFG9,1,0.264597,0.251663,0.4365,0.508,0.233052,-0.04888188452627959
ZDT1,0,0.112386,0.141655,0.976,0.932,0.964626,0.2604327941202641
ZDT1,1,0.034097,0.039769,0.9735,0.9625,0.96601,0.16634894565504285
ZDT3,0,0.101736,0.127318,0.988,0.9575,0.971034,0.25145474561610437
ZDT3,1,0.096242,0.102878,0.6395,0.6485,0.758187,0.06895118555308496
ZDT4,0,0.113472,0.131782,0.9795,0.9535,0.971278,0.16136139311900738
ZDT4,1,0.146117,0.143322,0.561,0.561,0.372997,-0.019128506607718417
ZDT6,0,0.09471,0.094936,0.6615,0.692,0.278042,0.0023862316545243795
ZDT6,1,0.012085,0.010232,0.9085,0.979,0.964868,-0.15333057509309064
