ts,rec,it,amostra,degrau_falho,pop_size,max_tries,erro,problema
2026-07-26T10:05:12.419+00:00,rs_runtimeerror_fallback,1,5,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:05:13.422+00:00,rs_runtimeerror_fallback,1,9,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:05:56.394+00:00,rs_runtimeerror_fallback,2,4,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:06:42.223+00:00,rs_runtimeerror_fallback,3,10,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:08:10.633+00:00,rs_runtimeerror_fallback,5,10,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:09:01.941+00:00,rs_runtimeerror_fallback,6,10,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:09:55.571+00:00,rs_runtimeerror_fallback,7,2,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:09:56.385+00:00,rs_runtimeerror_fallback,7,4,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:09:56.949+00:00,rs_runtimeerror_fallback,7,5,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:09:57.894+00:00,rs_runtimeerror_fallback,7,9,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:10:57.155+00:00,rs_runtimeerror_fallback,8,3,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:14:53.895+00:00,rs_runtimeerror_fallback,12,5,0,1024,10,Only found 5 optimal points instead of 10.,BBOB_F1
2026-07-26T10:14:55.095+00:00,rs_runtimeerror_fallback,12,10,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:15:54.072+00:00,rs_runtimeerror_fallback,13,4,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:16:53.341+00:00,rs_runtimeerror_fallback,14,2,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:16:53.960+00:00,rs_runtimeerror_fallback,14,4,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:17:57.765+00:00,rs_runtimeerror_fallback,15,9,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:18:59.061+00:00,rs_runtimeerror_fallback,16,2,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:19:00.539+00:00,rs_runtimeerror_fallback,16,4,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:20:02.420+00:00,rs_runtimeerror_fallback,17,2,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:20:03.534+00:00,rs_runtimeerror_fallback,17,6,0,1024,10,Only found 5 optimal points instead of 10.,BBOB_F1
2026-07-26T10:23:21.521+00:00,rs_runtimeerror_fallback,20,3,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:23:23.138+00:00,rs_runtimeerror_fallback,20,7,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:24:28.633+00:00,rs_runtimeerror_fallback,21,7,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:25:43.656+00:00,rs_runtimeerror_fallback,22,10,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:28:13.583+00:00,rs_runtimeerror_fallback,24,3,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:28:14.249+00:00,rs_runtimeerror_fallback,24,4,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:30:45.034+00:00,rs_runtimeerror_fallback,26,2,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:30:46.708+00:00,rs_runtimeerror_fallback,26,9,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:32:09.100+00:00,rs_runtimeerror_fallback,27,9,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:34:36.207+00:00,rs_runtimeerror_fallback,29,10,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:37:07.006+00:00,rs_runtimeerror_fallback,31,9,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:40:53.547+00:00,rs_runtimeerror_fallback,34,2,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:40:55.391+00:00,rs_runtimeerror_fallback,34,9,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:42:03.804+00:00,rs_runtimeerror_fallback,35,5,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:43:24.671+00:00,rs_runtimeerror_fallback,36,9,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:44:47.797+00:00,rs_runtimeerror_fallback,37,6,0,1024,10,Only found 5 optimal points instead of 10.,BBOB_F1
2026-07-26T10:47:41.485+00:00,rs_runtimeerror_fallback,39,4,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:47:43.269+00:00,rs_runtimeerror_fallback,39,9,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:49:11.329+00:00,rs_runtimeerror_fallback,40,4,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T10:49:11.895+00:00,rs_runtimeerror_fallback,40,5,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:50:39.169+00:00,rs_runtimeerror_fallback,41,7,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:52:08.545+00:00,rs_runtimeerror_fallback,42,10,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T10:56:45.071+00:00,rs_runtimeerror_fallback,45,5,0,1024,10,Only found 8 optimal points instead of 10.,BBOB_F1
2026-07-26T10:56:45.635+00:00,rs_runtimeerror_fallback,45,6,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T10:56:46.996+00:00,rs_runtimeerror_fallback,45,9,0,1024,10,Only found 4 optimal points instead of 10.,BBOB_F1
2026-07-26T10:59:46.593+00:00,rs_runtimeerror_fallback,47,1,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T11:01:25.788+00:00,rs_runtimeerror_fallback,48,1,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
2026-07-26T11:01:27.962+00:00,rs_runtimeerror_fallback,48,8,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T11:02:59.239+00:00,rs_runtimeerror_fallback,49,1,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T11:03:00.210+00:00,rs_runtimeerror_fallback,49,3,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T11:04:42.118+00:00,rs_runtimeerror_fallback,50,9,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T11:11:06.111+00:00,rs_runtimeerror_fallback,54,1,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T11:11:07.925+00:00,rs_runtimeerror_fallback,54,9,0,1024,10,Only found 6 optimal points instead of 10.,BBOB_F1
2026-07-26T11:11:08.694+00:00,rs_runtimeerror_fallback,54,10,0,1024,10,Only found 7 optimal points instead of 10.,BBOB_F1
2026-07-26T11:12:54.629+00:00,rs_runtimeerror_fallback,55,5,0,1024,10,Only found 9 optimal points instead of 10.,BBOB_F1
