problema,geracao,seed_log,seed_calc,seed_ok,lote_bit_a_bit,max_absdiff_nat,fe_evento,n_linhas_lote_real,u_min,u_max
DTLZ2,1,933708677,933708677,True,True,2.7939677238464355e-08,141,10,0.0072181811556220055,0.9983977526426315
DTLZ2,2,2994616791,2994616791,True,True,2.9802322387695312e-08,151,10,0.008340197615325451,0.9934827145189047
DTLZ2,3,3342987507,3342987507,True,True,2.9802322387695312e-08,161,10,0.0032687364146113396,0.9943763287737966
DTLZ2,4,644100034,644100034,True,True,2.9802322387695312e-08,171,10,0.014666169881820679,0.9924709293991327
DTLZ2,5,2150065031,2150065031,True,True,2.8870999813079834e-08,181,10,0.0032685641199350357,0.9989672610536218
DTLZ2,6,1260788964,1260788964,True,True,2.9802322387695312e-08,191,10,0.002210398204624653,0.9997830018401146
DTLZ2,7,2740120906,2740120906,True,True,2.8870999813079834e-08,201,10,0.00122846569865942,0.9793830960988998
DTLZ2,8,3526466499,3526466499,True,True,2.9802322387695312e-08,211,10,0.00522843562066555,0.9946388192474842
DTLZ2,9,1118246763,1118246763,True,True,2.8870999813079834e-08,221,10,0.02329453732818365,0.9828735869377851
DTLZ2,10,12212900,12212900,True,True,2.8870999813079834e-08,231,10,0.008106447756290436,0.99472651258111
DTLZ2,11,1124738283,1124738283,True,True,2.8870999813079834e-08,241,10,0.0015366105362772942,0.9949878193438053
DTLZ2,12,1536005704,1536005704,True,True,2.8870999813079834e-08,251,10,0.002986765466630459,0.9750612825155258
DTLZ2,13,1623154133,1623154133,True,True,2.8870999813079834e-08,261,10,0.0032662739977240562,0.9976044036448002
DTLZ2,14,2411994283,2411994283,True,True,2.8870999813079834e-08,271,10,0.0011351602151989937,0.990924833342433
DTLZ2,15,2977824913,2977824913,True,True,2.9802322387695312e-08,281,10,0.02378588542342186,0.9886449659243226
DTLZ2,16,8033846,8033846,True,True,2.9802322387695312e-08,291,10,0.0009704567492008209,0.989188376814127
DTLZ2,17,1849310794,1849310794,True,True,2.8870999813079834e-08,301,10,0.0083865812048316,0.9958280958235264
DTLZ2,18,135365848,135365848,True,True,2.8870999813079834e-08,311,10,0.003379671834409237,0.9989450927823782
DTLZ2,19,3675884182,3675884182,True,True,2.9802322387695312e-08,321,10,0.004713027738034725,0.9942010650411248
DTLZ2,20,4187209530,4187209530,True,True,2.9802322387695312e-08,331,10,0.0022929562255740166,0.9988701408728957
DTLZ2,21,1953483353,1953483353,True,True,2.9802322387695312e-08,341,10,0.00479303952306509,0.9971165955066681
DTLZ2,22,3200210475,3200210475,True,True,2.8870999813079834e-08,351,10,0.02762424573302269,0.9899926474317908
DTLZ2,23,690105596,690105596,True,True,2.9802322387695312e-08,361,10,0.018928401172161102,0.9928043987601995
DTLZ2,24,2376847590,2376847590,True,True,2.8870999813079834e-08,371,10,0.0014260690659284592,0.9743492985144258
DTLZ2,25,1353967299,1353967299,True,True,2.9802322387695312e-08,381,10,0.0009616855531930923,0.9880085065960884
DTLZ2,26,2484501875,2484501875,True,True,2.8870999813079834e-08,391,10,0.007960875518620014,0.9888531668111682
DTLZ2,27,3264550778,3264550778,True,True,2.9802322387695312e-08,401,10,0.007012549787759781,0.9973102230578661
DTLZ2,28,4191262284,4191262284,True,True,2.9802322387695312e-08,411,10,0.003452517092227936,0.9924551602452993
DTLZ2,29,3662099770,3662099770,True,True,2.9802322387695312e-08,421,10,0.020948011428117752,0.9913616720587015
DTLZ2,30,3902364483,3902364483,True,True,2.9802322387695312e-08,431,10,0.0039193639531731606,0.9787798598408699
DTLZ2,31,2348467950,2348467950,True,True,2.8870999813079834e-08,441,10,0.015795592218637466,0.9987375177443027
DTLZ2,32,1924812543,1924812543,True,True,2.9802322387695312e-08,451,10,0.0022347187623381615,0.9957037474960089
DTLZ2,33,2021883790,2021883790,True,True,2.9802322387695312e-08,461,10,0.00035399850457906723,0.9891388518735766
DTLZ2,34,1853367922,1853367922,True,True,2.8870999813079834e-08,471,10,0.0026181740686297417,0.994503503665328
DTLZ2,35,3671139195,3671139195,True,True,2.9802322387695312e-08,481,10,0.005265258252620697,0.9884753692895174
DTLZ2,36,105738018,105738018,True,True,2.9802322387695312e-08,491,10,0.0015035560354590416,0.9810648942366242
DTLZ2,37,3507106890,3507106890,True,True,2.9802322387695312e-08,501,10,0.002194947563111782,0.9960488034412265
DTLZ2,38,2658641751,2658641751,True,True,2.8870999813079834e-08,511,10,0.002002115361392498,0.9734102431684732
DTLZ2,39,378463023,378463023,True,True,2.9802322387695312e-08,521,10,0.005602930672466755,0.9970002360641956
DTLZ2,40,2198060547,2198060547,True,True,2.9802322387695312e-08,531,10,0.003577793948352337,0.9985296623781323
DTLZ2,41,2547117697,2547117697,True,True,2.8870999813079834e-08,541,10,0.0002053976058959961,0.9974007681012154
DTLZ2,42,811038363,811038363,True,True,2.8870999813079834e-08,551,10,0.01052501704543829,0.9903999483212829
DTLZ2,43,3339395492,3339395492,True,True,2.8870999813079834e-08,561,10,0.0005755024030804634,0.9912710813805461
DTLZ2,44,874467473,874467473,True,True,2.9802322387695312e-08,571,10,0.008899297565221786,0.981198962777853
DTLZ2,45,160635831,160635831,True,True,2.8870999813079834e-08,581,10,0.011279807426035404,0.994498535990715
DTLZ2,46,1946352888,1946352888,True,True,2.8870999813079834e-08,591,10,0.001250467263162136,0.992013611830771
DTLZ2,47,3137065642,3137065642,True,True,2.9802322387695312e-08,601,10,0.021530483849346638,0.9998727273195982
DTLZ2,48,2904438633,2904438633,True,True,2.7939677238464355e-08,611,10,0.004997922107577324,0.9974590325728059
DTLZ2,49,4033952540,4033952540,True,True,2.8870999813079834e-08,621,10,0.014348573982715607,0.9959355583414435
DTLZ2,50,714993139,714993139,True,True,2.8870999813079834e-08,631,10,0.004810393787920475,0.985985123552382
DTLZ2,51,3676055588,3676055588,True,True,2.9802322387695312e-08,641,10,0.003246498294174671,0.995410387404263
DTLZ2,52,2451970584,2451970584,True,True,2.9802322387695312e-08,651,10,0.0011888304725289345,0.9924934776499867
