label,geracao,n_front_acq,k,dist_dataset01,dist_selecionados01,dist_completados_prev01,dist_min_global01,marcado
q10_WFG9,6,7,0,1.4178561973762203,2.043223251939703,,1.4178561973762203,True
q10_WFG9,6,7,1,1.43007276911346,2.0003166054713146,2.745993556009049,1.43007276911346,True
q10_WFG9,6,7,2,1.5242403038623478,1.980209833180556,2.1031026013881067,1.5242403038623478,True
q10_WFG9,13,9,0,1.5490553008501022,2.064878697002177,,1.5490553008501022,True
q10_WFG9,15,9,0,1.5218827258295262,2.0916248299098448,,1.5218827258295262,True
q10_WFG9,171,8,0,1.313691583266616,2.142215235270024,,1.313691583266616,True
q10_WFG9,171,8,1,1.1689642550565174,2.1279945342862963,2.3504590799983704,1.1689642550565174,True
q10_ZDT4,5,7,0,0.4961173720915755,1.1965196800445983,,0.4961173720915755,True
q10_ZDT4,5,7,1,0.5634630587452646,1.1223873032560963,1.1992258752059402,0.5634630587452646,True
q10_ZDT4,5,7,2,0.594951519363456,1.120210230303988,1.3839193699260366,0.594951519363456,True
q10_ZDT4,8,8,0,0.8562038299929172,1.1685308218212582,,0.8562038299929172,True
q10_ZDT4,8,8,1,0.4758912629381497,1.1118519924501005,1.1588597513451118,0.4758912629381497,True
q10_ZDT4,19,9,0,0.6550146749907264,1.2219238576566407,,0.6550146749907264,True
q10_ZDT4,20,9,0,0.7282073762108615,1.3267202200766135,,0.7282073762108615,True
q10_ZDT4,21,9,0,0.48588119496426313,1.202704698977698,,0.48588119496426313,True
q10_ZDT4,23,9,0,0.8268241482879817,1.2366127021141393,,0.8268241482879817,True
q10_ZDT4,29,9,0,0.5823304408928978,1.0193316575586906,,0.5823304408928978,True
q10_ZDT4,35,9,0,0.6482560395930116,1.1713903194394826,,0.6482560395930116,True
q10_ZDT4,43,6,0,0.520454961239329,1.1763552270621638,,0.520454961239329,True
q10_ZDT4,43,6,1,0.5716554228492479,1.167918666676369,1.3712714973964808,0.5716554228492479,True
q10_ZDT4,43,6,2,0.5154799953013235,1.114431558646225,1.1732474829176547,0.5154799953013235,True
q10_ZDT4,43,6,3,0.6196896614144751,1.10985752290083,1.144927130713667,0.6196896614144751,True
q10_ZDT4,54,9,0,0.48649555900506825,1.036150682192129,,0.48649555900506825,True
q10_ZDT4,55,7,0,0.722099252199594,1.3404005506261023,,0.722099252199594,True
