exp,alg,problema,semente,igd_plus,hv,igd,gd,spacing,n_nd,n_aval,erro,selo
main,b1,BBOB_F1,0,0.03215139712471031,0.9820839473852534,0.0353701804956805,0.02482416148330644,0.023279844020160288,39,309,,
main,b1,BBOB_F1,1,0.028295981730210883,0.9900981466970603,0.03203409640183454,0.024203925260326865,0.0234245182086346,33,309,,
main,b1,BBOB_F1,2,0.039343777617450414,0.9709594038298658,0.04318382615581735,0.031551987536285055,0.02218497509487615,40,309,,
main,b1,BBOB_F1,3,0.03575824547339389,0.9775205959963387,0.040103748654237645,0.03492827260198331,0.03402570567891058,34,309,,
main,b1,BBOB_F1,4,0.0303494913712894,0.9866282303033775,0.035740834693103546,0.024828282898829355,0.023002392542947867,33,309,,
main,b1,BBOB_F1,5,0.033350841645293755,0.9816039306802915,0.038077608228331936,0.02748010612856487,0.03226338723550347,37,309,,
main,b1,BBOB_F1,6,0.028299220973245054,0.9899117377756331,0.0373080562273296,0.02331387721237891,0.047049088865607186,33,309,,
main,b1,BBOB_F1,7,0.02902774263418991,0.9882283799981569,0.03740425612459347,0.02356007207858833,0.018681232717529233,32,309,,
main,b1,BBOB_F1,8,0.02999064530764074,0.9866999957493713,0.03881369546063135,0.02342183340637726,0.04943546699898968,28,309,,
main,b1,BBOB_F1,9,0.03074602335960896,0.9849774163407624,0.03824720379192104,0.029318648846633964,0.02387220089759684,37,309,,
main,b1,BBOB_F1,10,0.03474056268445866,0.9791492753510105,0.04167533156369315,0.030194525420765554,0.026063944038707848,35,309,,
main,b1,BBOB_F1,11,0.026861131170110634,0.9912298538598022,0.032095377723658246,0.020725402408417037,0.024499006585685244,36,309,,
main,b1,BBOB_F1,12,0.026760227741339588,0.9925414440378124,0.03498821715729649,0.024949073919044516,0.029997187000945943,34,309,,
main,b1,BBOB_F1,13,0.03213032760720983,0.9842490672625211,0.03837521480689032,0.026856267242265527,0.01791186299267481,39,309,,
main,b1,BBOB_F1,14,0.02967543881924588,0.9866646314987685,0.032243309448853646,0.022970910343357458,0.019556540681921357,36,309,,
main,b1,BBOB_F1,15,0.034879661137960795,0.9779116435371398,0.040697784702954695,0.028749171080125,0.025888685751813013,34,309,,
main,b1,BBOB_F1,16,0.02365579631327563,0.9982267253156066,0.03047599339866279,0.023407933658498876,0.023048208240533934,39,309,,
main,b1,BBOB_F1,17,0.03491701990521777,0.9787157219617351,0.04047644930848813,0.030353416392934443,0.023288830468593716,35,309,,
main,b1,BBOB_F1,18,0.03241094012938306,0.9823801120583148,0.045027190987839145,0.033455917022277105,0.02461433570169888,34,309,,
main,b1,BBOB_F1,19,0.033277399148005586,0.9805319632899192,0.04014175552587526,0.027563686032140315,0.04303329433879155,33,309,,
main,b1,BBOB_F1,20,0.032642650304731805,0.9820413158954225,0.04253218105194251,0.03163875160669314,0.021389915691112874,28,309,,
main,b1,BBOB_F1,21,0.03699174946182837,0.9759987390897422,0.042131085498657725,0.03350772381546334,0.017905478593197174,40,309,,
