problema,name,solution_id,fe,x_key
BBOB_F1,cache_hit,0.0,1.0,80F7BC7AF40BE4BF
BBOB_F17,cache_hit,0.0,1.0,D8183742992E0E40
BBOB_F22,cache_hit,0.0,1.0,880900E8A90EFBBF
BBOB_F22,stall_0fe,,,
BBOB_F22,stall_0fe,,,
BBOB_F22,cache_hit,164.0,207.0,30FD7651AC7E0340
BBOB_F22,cache_hit,180.0,250.0,8A2D8FFE13771140
BBOB_F37,cache_hit,0.0,1.0,0B7A540FDEFE02C0
BBOB_F37,cache_hit,206.0,247.0,9A809F01C487A9BF
BBOB_F49,cache_hit,0.0,1.0,C05469D6B137D7BF
BBOB_F5,cache_hit,0.0,1.0,B429B9AA44FDFDBF
BBOB_F55,cache_hit,0.0,1.0,6E118206BBC202C0
DTLZ1,cache_hit,0.0,1.0,58F449FFA8A8B83F
DTLZ2,cache_hit,0.0,1.0,7974D59EAF27C73F
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ2,stall_0fe,,,
DTLZ3,cache_hit,0.0,1.0,B2D49C1479FAD83F
DTLZ3,cache_hit,220.0,280.0,B03614B0873AD83F
DTLZ3,stall_0fe,,,
DTLZ3,cache_hit,290.0,357.0,0000000000000000
