problema,D,melhor_piso,igd_piso,melhor_sa,igd_sa,n_sa_ganham,n_sa,n_conclusivas
MMF1,2,nsga3,0.05701,e81,0.03686,9,13,0
MMF11_L,2,nsga3,0.02316,c238,0.01196,6,13,0
MMF4,2,nsga3,0.03771,c262,0.02102,10,13,0
DTLZ1,7,nsga2,45.35,c122,54.67,0,13,0
BBOB_F1,10,nsga2,0.136,c262,0.001456,10,13,8
BBOB_F17,10,nsga2,0.02061,b4,0.01692,3,13,0
BBOB_F22,10,smsemoa,0.1591,c141,0.03433,7,13,4
BBOB_F37,10,smsemoa,0.2539,c141,0.1024,10,13,1
BBOB_F49,10,nsga2,0.2071,c141,0.08085,8,13,1
BBOB_F5,10,smsemoa,0.1193,c262,0.004828,10,13,6
BBOB_F55,10,nsga2,0.6061,c141,0.01312,11,12,5
ZDT4,10,nsga2,43.9,c262,5.928,4,13,1
ZDT6,10,nsga2,6.446,c262,0.002445,11,12,8
DTLZ2,12,smsemoa,0.1701,c262,0.03066,7,12,2
DTLZ3,12,smsemoa,129.8,c122,187.6,0,12,0
DTLZ4,12,nsga3,0.2824,c122,0.1165,4,11,0
MMF16_20,20,smsemoa,0.03162,c238,0.01891,6,11,0
DTLZ7,22,nsga3,1.125,c141,0.0349,9,11,6
WFG1,22,smsemoa,0.4954,b4,0.4904,1,10,0
WFG2,22,nsga2,0.1228,c262,0.05653,2,12,0
WFG4,22,smsemoa,0.04442,b4,0.06511,0,12,0
WFG5,22,nsga2,0.09308,c238,0.03016,8,12,1
WFG9,22,nsga3,0.09553,c141,0.07508,4,12,0
ZDT1,30,nsga2,0.4441,c262,0.0007028,9,12,7
ZDT3,30,nsga2,0.3443,b1,0.01269,6,11,4
