exp,alg,problema,camada,tipo,detalhe
main,c217,MMF1,5,CHAVES,faltam ['params']
main,c217,MMF4,5,CHAVES,faltam ['params']
main,c217,MMF11_L,5,CHAVES,faltam ['params']
main,c217,MMF16_20,5,CHAVES,faltam ['params']
main,c217,ZDT1,5,CHAVES,faltam ['params']
main,c217,ZDT3,5,CHAVES,faltam ['params']
main,c217,ZDT4,5,CHAVES,faltam ['params']
main,c217,ZDT6,5,CHAVES,faltam ['params']
main,c217,DTLZ1,5,CHAVES,faltam ['params']
main,c217,DTLZ2,5,CHAVES,faltam ['params']
main,c217,DTLZ3,5,CHAVES,faltam ['params']
main,c217,DTLZ4,5,CHAVES,faltam ['params']
main,c217,DTLZ7,5,CHAVES,faltam ['params']
main,c217,WFG1,5,CHAVES,faltam ['params']
main,c217,WFG2,5,CHAVES,faltam ['params']
main,c217,WFG4,5,CHAVES,faltam ['params']
main,c217,WFG5,5,CHAVES,faltam ['params']
main,c217,WFG9,5,CHAVES,faltam ['params']
main,c217,BBOB_F1,5,CHAVES,faltam ['params']
main,c217,BBOB_F5,5,CHAVES,faltam ['params']
main,c217,BBOB_F17,5,CHAVES,faltam ['params']
main,c217,BBOB_F22,5,CHAVES,faltam ['params']
main,c217,BBOB_F37,5,CHAVES,faltam ['params']
main,c217,BBOB_F49,5,CHAVES,faltam ['params']
main,c217,BBOB_F55,5,CHAVES,faltam ['params']
main,c262,MMF1,5,CHAVES,faltam ['params']
main,c262,MMF4,5,CHAVES,faltam ['params']
main,c262,MMF11_L,5,CHAVES,faltam ['params']
main,c262,ZDT1,5,CHAVES,faltam ['params']
main,c262,ZDT4,5,CHAVES,faltam ['params']
main,c262,ZDT6,5,CHAVES,faltam ['params']
main,c262,DTLZ1,5,CHAVES,faltam ['params']
main,c262,DTLZ2,5,CHAVES,faltam ['params']
main,c262,DTLZ3,5,CHAVES,faltam ['params']
main,c262,DTLZ4,5,CHAVES,faltam ['params']
main,c262,WFG2,5,CHAVES,faltam ['params']
main,c262,WFG4,5,CHAVES,faltam ['params']
main,c262,WFG5,5,CHAVES,faltam ['params']
main,c262,WFG9,5,CHAVES,faltam ['params']
main,c262,BBOB_F1,5,CHAVES,faltam ['params']
main,c262,BBOB_F5,5,CHAVES,faltam ['params']
main,c262,BBOB_F17,5,CHAVES,faltam ['params']
main,c262,BBOB_F22,5,CHAVES,faltam ['params']
main,c262,BBOB_F37,5,CHAVES,faltam ['params']
main,c262,BBOB_F49,5,CHAVES,faltam ['params']
main,c262,BBOB_F55,5,CHAVES,faltam ['params']
main,c154,MMF1,5,CHAVES,faltam ['params']
main,c154,MMF4,5,CHAVES,faltam ['params']
main,c154,MMF11_L,5,CHAVES,faltam ['params']
main,c154,ZDT4,5,CHAVES,faltam ['params']
main,c154,DTLZ1,5,CHAVES,faltam ['params']
main,c154,BBOB_F1,5,CHAVES,faltam ['params']
main,c154,BBOB_F5,5,CHAVES,faltam ['params']
main,c154,BBOB_F17,5,CHAVES,faltam ['params']
main,c154,BBOB_F22,5,CHAVES,faltam ['params']
main,c154,BBOB_F37,5,CHAVES,faltam ['params']
main,c154,BBOB_F49,5,CHAVES,faltam ['params']
off,b5r,MMF1,5,CHAVES,faltam ['params']
off,b5r,MMF4,5,CHAVES,faltam ['params']
off,b5r,MMF11_L,5,CHAVES,faltam ['params']
off,b5r,MMF16_20,5,CHAVES,faltam ['params']
off,b5r,ZDT1,5,CHAVES,faltam ['params']
off,b5r,ZDT3,5,CHAVES,faltam ['params']
off,b5r,ZDT4,5,CHAVES,faltam ['params']
off,b5r,ZDT6,5,CHAVES,faltam ['params']
off,b5r,DTLZ1,5,CHAVES,faltam ['params']
off,b5r,DTLZ2,5,CHAVES,faltam ['params']
off,b5r,DTLZ3,5,CHAVES,faltam ['params']
off,b5r,DTLZ4,5,CHAVES,faltam ['params']
off,b5r,DTLZ7,5,CHAVES,faltam ['params']
off,b5r,WFG1,5,CHAVES,faltam ['params']
off,b5r,WFG2,5,CHAVES,faltam ['params']
off,b5r,WFG4,5,CHAVES,faltam ['params']
off,b5r,WFG5,5,CHAVES,faltam ['params']
off,b5r,WFG9,5,CHAVES,faltam ['params']
off,b5r,BBOB_F1,5,CHAVES,faltam ['params']
off,b5r,BBOB_F5,5,CHAVES,faltam ['params']
off,b5r,BBOB_F17,5,CHAVES,faltam ['params']
off,b5r,BBOB_F22,5,CHAVES,faltam ['params']
off,b5r,BBOB_F37,5,CHAVES,faltam ['params']
off,b5r,BBOB_F49,5,CHAVES,faltam ['params']
off,b5r,BBOB_F55,5,CHAVES,faltam ['params']
off,b5m,MMF1,5,CHAVES,faltam ['params']
off,b5m,MMF4,5,CHAVES,faltam ['params']
off,b5m,MMF11_L,5,CHAVES,faltam ['params']
off,b5m,MMF16_20,5,CHAVES,faltam ['params']
off,b5m,ZDT1,5,CHAVES,faltam ['params']
off,b5m,ZDT3,5,CHAVES,faltam ['params']
off,b5m,ZDT4,5,CHAVES,faltam ['params']
off,b5m,ZDT6,5,CHAVES,faltam ['params']
off,b5m,DTLZ1,5,CHAVES,faltam ['params']
off,b5m,DTLZ2,5,CHAVES,faltam ['params']
off,b5m,DTLZ3,5,CHAVES,faltam ['params']
off,b5m,DTLZ4,5,CHAVES,faltam ['params']
off,b5m,DTLZ7,5,CHAVES,faltam ['params']
off,b5m,WFG1,5,CHAVES,faltam ['params']
off,b5m,WFG2,5,CHAVES,faltam ['params']
off,b5m,WFG4,5,CHAVES,faltam ['params']
off,b5m,WFG5,5,CHAVES,faltam ['params']
off,b5m,WFG9,5,CHAVES,faltam ['params']
off,b5m,BBOB_F1,5,CHAVES,faltam ['params']
off,b5m,BBOB_F5,5,CHAVES,faltam ['params']
off,b5m,BBOB_F17,5,CHAVES,faltam ['params']
off,b5m,BBOB_F22,5,CHAVES,faltam ['params']
off,b5m,BBOB_F37,5,CHAVES,faltam ['params']
off,b5m,BBOB_F49,5,CHAVES,faltam ['params']
off,b5m,BBOB_F55,5,CHAVES,faltam ['params']
off,moead_media,MMF1,5,CHAVES,faltam ['params']
off,moead_media,MMF4,5,CHAVES,faltam ['params']
off,moead_media,MMF11_L,5,CHAVES,faltam ['params']
off,moead_media,MMF16_20,5,CHAVES,faltam ['params']
off,moead_media,ZDT1,5,CHAVES,faltam ['params']
off,moead_media,ZDT3,5,CHAVES,faltam ['params']
off,moead_media,ZDT4,5,CHAVES,faltam ['params']
off,moead_media,ZDT6,5,CHAVES,faltam ['params']
off,moead_media,DTLZ1,5,CHAVES,faltam ['params']
off,moead_media,DTLZ2,5,CHAVES,faltam ['params']
off,moead_media,DTLZ3,5,CHAVES,faltam ['params']
off,moead_media,DTLZ4,5,CHAVES,faltam ['params']
off,moead_media,DTLZ7,5,CHAVES,faltam ['params']
off,moead_media,WFG1,5,CHAVES,faltam ['params']
off,moead_media,WFG2,5,CHAVES,faltam ['params']
off,moead_media,WFG4,5,CHAVES,faltam ['params']
off,moead_media,WFG5,5,CHAVES,faltam ['params']
off,moead_media,WFG9,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F1,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F5,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F17,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F22,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F37,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F49,5,CHAVES,faltam ['params']
off,moead_media,BBOB_F55,5,CHAVES,faltam ['params']
batch,sobol_batch,MMF16_20,5,CHAVES,faltam ['params']
batch,sobol_batch,ZDT4,5,CHAVES,faltam ['params']
batch,sobol_batch,DTLZ2,5,CHAVES,faltam ['params']
batch,sobol_batch,WFG9,5,CHAVES,faltam ['params']
batch,sobol_batch,ZDT1,5,CHAVES,faltam ['params']
sweep-small-lhs,b5r,MMF16_20,5,CHAVES,faltam ['params']
sweep-small-lhs,b5r,ZDT4,5,CHAVES,faltam ['params']
sweep-small-lhs,b5r,DTLZ2,5,CHAVES,faltam ['params']
sweep-small-lhs,b5r,WFG9,5,CHAVES,faltam ['params']
sweep-small-lhs,b5r,ZDT1,5,CHAVES,faltam ['params']
sweep-small-mvns,b5r,MMF16_20,5,CHAVES,faltam ['params']
sweep-small-mvns,b5r,ZDT4,5,CHAVES,faltam ['params']
