it,i,j,dacqf,dacqf_rel,viol,cache_hit,dist_min,n_train
47,1,7,1.4210854715202004e-13,2.644113539994931e-14,False,False,0.23302518458833515,375.0
48,0,9,1.1546319456101628e-13,2.2186934960661896e-14,False,False,0.20478305267547375,376.0
50,0,7,1.4654943925052066e-13,3.115879890817308e-14,False,False,0.18712844353407407,378.0
50,2,6,1.580957587066223e-13,3.3613734579726115e-14,False,False,0.18712844353407407,378.0
51,2,3,1.9539925233402755e-13,3.8665589818790275e-14,False,False,0.15335145582465276,379.0
51,2,5,3.4638958368304884e-14,6.8543545587855484e-15,False,False,0.15335145582465276,379.0
51,2,8,1.509903313490213e-14,2.987795576906521e-15,False,False,0.15335145582465276,379.0
51,2,9,2.948752353404416e-13,5.83498900901744e-14,False,False,0.15335145582465276,379.0
51,3,5,1.6076029396572267e-13,3.181123526000473e-14,False,False,0.15335145582465276,379.0
51,3,8,2.1049828546892968e-13,4.1653385395696796e-14,False,False,0.15335145582465276,379.0
51,3,9,9.947598300641403e-14,1.968430027138414e-14,False,False,0.15335145582465276,379.0
51,5,8,4.973799150320701e-14,9.84215013569207e-15,False,False,0.15335145582465276,379.0
51,5,9,2.602362769721367e-13,5.1495535531388864e-14,False,False,0.15335145582465276,379.0
51,8,9,3.099742684753437e-13,6.133768566708094e-14,False,False,0.15335145582465276,379.0
52,0,1,2.9043434324194095e-13,5.937730036066882e-14,False,False,0.09147536332433506,380.0
52,2,5,7.194245199571014e-14,1.4708138621450076e-14,False,False,0.09147536332433506,380.0
52,2,6,0.0,0.0,False,False,0.09147536332433506,380.0
52,5,6,7.194245199571014e-14,1.4708138621450076e-14,False,False,0.09147536332433506,380.0
53,0,7,9.325873406851315e-14,1.6658933412818638e-14,False,False,0.24719514090910907,381.0
53,0,9,5.684341886080802e-14,1.0154016556384694e-14,False,False,0.24719514090910907,381.0
53,3,5,0.0,0.0,False,False,0.24719514090910907,381.0
53,3,6,0.0,0.0,False,False,0.24719514090910907,381.0
53,3,8,0.0,0.0,False,False,0.24719514090910907,381.0
53,5,6,0.0,0.0,False,False,0.24719514090910907,381.0
53,5,8,0.0,0.0,False,False,0.24719514090910907,381.0
53,6,8,0.0,0.0,False,False,0.24719514090910907,381.0
53,7,9,1.5010215292932116e-13,2.681294996920333e-14,False,False,0.24719514090910907,381.0
54,0,2,2.4868995751603507e-14,4.5114397461497465e-15,False,False,0.16275517178539323,382.0
54,1,3,0.0,0.0,False,False,0.16275517178539323,382.0
54,1,4,0.0,0.0,False,False,0.16275517178539323,382.0
54,1,6,0.0,0.0,False,False,0.16275517178539323,382.0
54,1,8,0.0,0.0,False,False,0.16275517178539323,382.0
54,3,4,0.0,0.0,False,False,0.16275517178539323,382.0
54,3,6,0.0,0.0,False,False,0.16275517178539323,382.0
54,3,8,0.0,0.0,False,False,0.16275517178539323,382.0
54,4,6,0.0,0.0,False,False,0.16275517178539323,382.0
54,4,8,0.0,0.0,False,False,0.16275517178539323,382.0
54,6,8,0.0,0.0,False,False,0.16275517178539323,382.0
55,0,1,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,0,2,0.0,0.0,False,False,0.09417255633100259,383.0
55,0,3,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,0,5,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,0,6,0.0,0.0,False,False,0.09417255633100259,383.0
55,0,7,0.0,0.0,False,False,0.09417255633100259,383.0
55,0,8,5.329070518200751e-15,1.0266077975496076e-15,False,False,0.09417255633100259,383.0
55,1,2,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,1,3,0.0,0.0,False,False,0.09417255633100259,383.0
55,1,5,0.0,0.0,False,False,0.09417255633100259,383.0
55,1,6,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,1,7,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,1,8,7.993605777301127e-15,1.5399116963244114e-15,False,False,0.09417255633100259,383.0
55,2,3,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,2,5,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,2,6,0.0,0.0,False,False,0.09417255633100259,383.0
55,2,7,0.0,0.0,False,False,0.09417255633100259,383.0
55,2,8,5.329070518200751e-15,1.0266077975496076e-15,False,False,0.09417255633100259,383.0
55,3,5,0.0,0.0,False,False,0.09417255633100259,383.0
55,3,6,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,3,7,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,3,8,7.993605777301127e-15,1.5399116963244114e-15,False,False,0.09417255633100259,383.0
55,5,6,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,5,7,2.6645352591003757e-15,5.133038987748038e-16,False,False,0.09417255633100259,383.0
55,5,8,7.993605777301127e-15,1.5399116963244114e-15,False,False,0.09417255633100259,383.0
55,6,7,0.0,0.0,False,False,0.09417255633100259,383.0
55,6,8,5.329070518200751e-15,1.0266077975496076e-15,False,False,0.09417255633100259,383.0
55,7,8,5.329070518200751e-15,1.0266077975496076e-15,False,False,0.09417255633100259,383.0
56,3,4,0.0,0.0,False,False,0.11911476512114447,384.0
56,3,5,0.0,0.0,False,False,0.11911476512114447,384.0
56,3,6,0.0,0.0,False,False,0.11911476512114447,384.0
56,3,7,0.0,0.0,False,False,0.11911476512114447,384.0
56,3,8,0.0,0.0,False,False,0.11911476512114447,384.0
56,4,5,0.0,0.0,False,False,0.11911476512114447,384.0
56,4,6,0.0,0.0,False,False,0.11911476512114447,384.0
56,4,7,0.0,0.0,False,False,0.11911476512114447,384.0
56,4,8,0.0,0.0,False,False,0.11911476512114447,384.0
56,5,6,0.0,0.0,False,False,0.11911476512114447,384.0
56,5,7,0.0,0.0,False,False,0.11911476512114447,384.0
56,5,8,0.0,0.0,False,False,0.11911476512114447,384.0
56,6,7,0.0,0.0,False,False,0.11911476512114447,384.0
56,6,8,0.0,0.0,False,False,0.11911476512114447,384.0
56,7,8,0.0,0.0,False,False,0.11911476512114447,384.0
