problema,D,geracao,n,obj,lnL,sigma2_cota,tmin,tmax,tmed
BBOB_F1,10,20,128,0,633.6834900944688,5.010927021663184e-05,0.001,0.0010001834429724497,0.0010000332979237948
BBOB_F1,10,20,128,1,624.9065039272084,5.7474790989806585e-05,0.001,0.0010008690076322591,0.0010000876511729935
BBOB_F1,10,21,129,0,641.9372866016407,4.760769875078588e-05,0.001,0.0010000061572660107,0.001000001231453202
BBOB_F1,10,21,129,1,633.0935793469656,5.460395013908106e-05,0.001,0.001000037144464919,0.0010000111433394758
BBOB_F1,10,22,130,0,649.5660123448772,4.570406717111983e-05,0.001,0.0010002305665061276,0.0010000894066441788
BBOB_F1,10,22,130,1,640.6713819266458,5.2406349575602304e-05,0.001,0.0010004538047969002,0.0010001523566362553
BBOB_F1,10,23,131,0,657.3221133767809,4.381860265393975e-05,0.001,0.0010003503976142958,0.0010000498086198569
BBOB_F1,10,23,131,1,648.3480644822089,5.025282807281118e-05,0.001,0.0010005781956047082,0.0010000926771469645
BBOB_F1,10,24,132,0,664.6666151899597,4.2300726769103115e-05,0.001,0.001000034441154825,0.00100001377646193
BBOB_F1,10,24,132,1,655.6262851475243,4.8510436716289245e-05,0.001,0.001000077983190659,0.00100003642698686
BBOB_F1,10,25,133,0,672.3230843980155,4.066586277611475e-05,0.001,0.0010000366359698034,0.0010000036636253029
BBOB_F1,10,25,133,1,663.2216569360999,4.663039393679779e-05,0.001,0.0010000366359698034,0.0010000036636253029
BBOB_F1,10,26,134,0,679.6238638554639,3.932540701519397e-05,0.001,0.0010003480872524957,0.0010001703789166087
BBOB_F1,10,26,134,1,670.4570045706149,4.509131221883923e-05,0.001,0.001000348087253182,0.0010001703789168253
BBOB_F1,10,27,135,0,687.4150420124715,3.777260141927992e-05,0.001,0.0010002361436932544,0.0010000482457963797
BBOB_F1,10,27,135,1,678.1742714554321,4.331436409013555e-05,0.001,0.0010001206402981502,0.001000026662369852
BBOB_F1,10,28,136,0,695.017133386952,3.640369793477568e-05,0.001,0.0010002136389276686,0.0010000961370725497
BBOB_F1,10,28,136,1,685.7085627777058,4.1744224456278995e-05,0.001,0.0010002136389276686,0.0010000961370725497
BBOB_F1,10,29,137,0,702.882372834857,3.496872253964362e-05,0.001,0.0010003135535285798,0.001000112397606304
BBOB_F1,10,29,137,1,693.5080264820895,4.0097171345114786e-05,0.001,0.0010001525939524677,0.001000051538817826
BBOB_F1,10,30,138,0,710.2451009366439,3.3855561966358505e-05,0.001,0.0010002572855327622,0.001000093306581735
BBOB_F1,10,30,138,1,700.8002336696927,3.8821935402872225e-05,0.001,0.0010000745996594435,0.0010000350513240867
BBOB_F1,10,31,139,0,718.4020707760977,3.242047329769179e-05,0.001,0.0010000523371073088,0.0010000209348429237
BBOB_F1,10,31,139,1,708.8915402289354,3.71748434542755e-05,0.001,0.0010000523371073088,0.0010000209348429237
BBOB_F1,10,32,140,0,727.0757090956822,3.083698291758176e-05,0.001,0.001000077983190659,0.0010000311932762637
BBOB_F1,10,32,140,1,717.4698375236082,3.53727394159043e-05,0.001,0.0010000770019747763,0.001000015405528817
BBOB_F1,10,33,141,0,734.7865702337863,2.975526275400424e-05,0.001,0.0010001114063602186,0.0010000408434995914
BBOB_F1,10,33,141,1,725.1261975278998,3.412507935231994e-05,0.001,0.0010003681184149,0.0010001398040348959
BBOB_F1,10,34,142,0,742.3353140577608,2.879159773905402e-05,0.001,0.0010001556995712275,0.0010000236625397033
BBOB_F1,10,34,142,1,732.602851620941,3.302155516774469e-05,0.001,0.0010001556995712275,0.0010000236625397033
BBOB_F1,10,35,143,0,749.7076487226288,2.7940825462587885e-05,0.001,0.0010003459448679867,0.0010001487525197097
BBOB_F1,10,35,143,1,739.9275587268721,3.2036419754812156e-05,0.001,0.0010002594224118612,0.0010000878522432393
BBOB_F1,10,36,144,0,756.624818656969,2.7298520895248832e-05,0.001,0.0010000256866005363,0.001000002568660054
BBOB_F1,10,36,144,1,746.7747762708333,3.130064377774965e-05,0.001,0.0010000256866005363,0.001000002568660054
BBOB_F1,10,37,145,0,763.916070345461,2.6542233301858187e-05,0.001,0.001000420700607373,0.0010000862994186273
BBOB_F1,10,37,145,1,754.0073235334539,3.0429409049078317e-05,0.001,0.0010004625360761185,0.0010000880838905285
BBOB_F1,10,38,146,0,771.4588628767071,2.572802666759202e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,38,146,1,761.4801783951195,2.949660693220262e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,39,147,0,778.885183517824,2.498893760632727e-05,0.001,0.001000436145436204,0.0010001202687203363
BBOB_F1,10,39,147,1,768.8407131936815,2.8648259514453276e-05,0.001,0.0010003111060420925,0.001000105092822412
BBOB_F1,10,40,148,0,786.4376405681055,2.423929010346297e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,40,148,1,776.3216056889287,2.7790050158216678e-05,0.001,0.0010004087622226957,0.0010000486955099783
BBOB_F1,10,41,149,0,794.2219741351469,2.344864987402427e-05,0.001,0.0010000747824573772,0.0010000149564914757
BBOB_F1,10,41,149,1,784.0488822269493,2.687951541573132e-05,0.001,0.0010000747824573772,0.0010000149564914757
BBOB_F1,10,42,150,0,801.9002480876695,2.2725945608403547e-05,0.001,0.0010000360768691542,0.0010000144481081374
BBOB_F1,10,42,150,1,791.6647478038469,2.6049031454178598e-05,0.001,0.0010000545876153403,0.0010000272938076704
BBOB_F1,10,43,151,0,809.5750759278169,2.20356560332443e-05,0.001,0.001000178292457037,0.0010000531248088112
BBOB_F1,10,43,151,1,799.263263678505,2.5260506416271743e-05,0.001,0.0010000835648487176,0.0010000334259394872
BBOB_F1,10,44,152,0,817.5990286096079,2.127704096854368e-05,0.001,0.001000446040725735,0.0010000573512811764
BBOB_F1,10,44,152,1,807.2256734426346,2.4388705064443537e-05,0.001,0.0010004861498154266,0.0010000841756103828
BBOB_F1,10,45,153,0,825.1909647692391,2.0670355264276937e-05,0.001,0.001000079461653711,0.0010000319126289344
BBOB_F1,10,45,153,1,814.7493216110736,2.3693307597397848e-05,0.001,0.0010000779837687115,0.001000031193462731
BBOB_F1,10,46,154,0,832.6303672161191,2.012834791607284e-05,0.001,0.0010002245555248003,0.0010001037859150626
BBOB_F1,10,46,154,1,822.1183189479358,2.3072680906841648e-05,0.001,0.001000225647094498,0.0010001015211701068
BBOB_F1,10,47,155,0,840.416295598939,1.951979979306592e-05,0.001,0.001000345095286336,0.0010000921934695314
BBOB_F1,10,47,155,1,829.839305993931,2.2374157496303095e-05,0.001,0.0010002594224118612,0.0010001396446290352
BBOB_F1,10,48,156,0,848.7311982538088,1.880911042595893e-05,0.001,0.0010005739992265737,0.0010000957014267623
BBOB_F1,10,48,156,1,838.0811745315686,2.1560870377758548e-05,0.001,0.0010003339471266256,0.0010000430223362224
BBOB_F1,10,49,157,0,857.2499250096007,1.8085840650971398e-05,0.001,0.001000690118169102,0.001000145459653547
BBOB_F1,10,49,157,1,846.5316542862271,2.0731780819882996e-05,0.001,0.0010002936901364913,0.0010000714146634307
BBOB_F1,10,50,158,0,865.2457639470886,1.7514559970369877e-05,0.001,0.0010004640790279588,0.0010001541795959215
BBOB_F1,10,50,158,1,854.4353760996107,2.008298392884197e-05,0.001,0.001000217999683702,0.0010000781362021556
BBOB_F1,10,51,159,0,873.117744044722,1.6994630229840907e-05,0.001,0.0010003117960370772,0.0010001247894054516
BBOB_F1,10,51,159,1,862.239497200562,1.9486671498357108e-05,0.001,0.001000151653682033,0.0010000634354228946
BBOB_F1,10,52,160,0,880.3557864705449,1.6627587725358817e-05,0.001,0.0010000747681441781,0.0010000074768144178
BBOB_F1,10,52,160,1,869.4115370019955,1.906523168176241e-05,0.001,0.00100008733491686,0.0010000087334916864
BBOB_F1,10,53,161,0,888.7782068146726,1.6035219020327792e-05,0.001,0.0010004452233322867,0.0010000849376034832
BBOB_F1,10,53,161,1,877.7577754996489,1.8387797400072833e-05,0.001,0.0010003114411797453,0.0010000636413074273
BBOB_F1,10,54,162,0,896.5691265221981,1.559196799490849e-05,0.001,0.0010007501663863395,0.0010000752459811944
BBOB_F1,10,54,162,1,885.4817392751859,1.7879185831887235e-05,0.001,0.0010005248827041726,0.001000054352646281
BBOB_F1,10,55,163,0,904.6988352127496,1.5103271151360396e-05,0.001,0.0010003892488507533,0.001000088888443243
BBOB_F1,10,55,163,1,893.5381740169382,1.7319828150687385e-05,0.001,0.0010006387156895433,0.001000133773481102
BBOB_F1,10,56,164,0,912.5804382137148,1.4679923671014491e-05,0.001,0.0010004973040856104,0.0010001046945277185
BBOB_F1,10,56,164,1,901.3552065056272,1.6833549569801898e-05,0.001,0.0010004454526636782,0.0010000446466815478
BBOB_F1,10,57,165,0,921.1541060920598,1.4154126990870407e-05,0.001,0.0010002485415492323,0.0010001021645065374
BBOB_F1,10,57,165,1,909.8283666538066,1.623692438856771e-05,0.001,0.0010003760856171508,0.0010001351188373452
BBOB_F1,10,58,166,0,928.8665870946286,1.3795560783110558e-05,0.001,0.0010004449453784921,0.0010000997448549036
BBOB_F1,10,58,166,1,917.4870469298806,1.5822765407461968e-05,0.001,0.0010002703496332398,0.0010000667280424713
BBOB_F1,10,59,167,0,936.5196645625238,1.3459782861389783e-05,0.001,0.0010005568433921635,0.0010001734783035433
BBOB_F1,10,59,167,1,925.0698483455354,1.5437965062721734e-05,0.001,0.0010003110876035555,0.0010001432621991354
BBOB_F1,10,60,168,0,944.6681662733865,1.3058783329916237e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,60,168,1,933.1469560599755,1.4978535714072735e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,61,169,0,952.9096838166421,1.2660322364985179e-05,0.001,0.0010001396762394817,0.0010000196039480496
BBOB_F1,10,61,169,1,941.3218405752862,1.452116324098822e-05,0.001,0.0010000649106242916,0.001000007129730174
BBOB_F1,10,62,170,0,960.8693152039335,1.231928195104095e-05,0.001,0.0010001156103069332,0.0010000434378620864
BBOB_F1,10,62,170,1,949.213916002488,1.4129827898525534e-05,0.001,0.0010001011817456788,0.001000058172173858
BBOB_F1,10,63,171,0,968.5395453923092,1.203191447000826e-05,0.001,0.0010001525963709286,0.0010000457789112785
BBOB_F1,10,63,171,1,956.8197639232001,1.3799551975794168e-05,0.001,0.0010001525963709286,0.0010000457789112785
BBOB_F1,10,64,172,0,976.6053434413018,1.1700533878895704e-05,0.001,0.001000355050161654,0.0010000874132073852
BBOB_F1,10,64,172,1,964.8130989688071,1.3420100135946962e-05,0.001,0.0010002703461932726,0.0010000705898304443
BBOB_F1,10,65,173,0,984.6271867515449,1.1387739574281312e-05,0.001,0.0010005130811436256,0.0010000883539138176
BBOB_F1,10,65,173,1,972.7674356707859,1.3061177095771193e-05,0.001,0.0010006571404413142,0.0010000657623285552
BBOB_F1,10,66,174,0,992.78466275198,1.1069489115539724e-05,0.001,0.0010002546245259291,0.0010001003359640357
BBOB_F1,10,66,174,1,980.8702102720913,1.2694138163104124e-05,0.001,0.0010001310928799243,0.0010000420101028914
BBOB_F1,10,67,175,0,1000.4920443869703,1.0819128933657133e-05,0.001,0.001000217998216642,0.001000070298637359
BBOB_F1,10,67,175,1,988.5147898545523,1.240622886007548e-05,0.001,0.0010003086513276568,0.0010001237590671068
BBOB_F1,10,68,176,0,1007.9977285144078,1.0601451394509284e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,68,176,1,995.9581055366388,1.2155780442440487e-05,0.001,0.001,0.0010000000000000002
BBOB_F1,10,69,177,0,1016.2495148043254,1.030330989809586e-05,0.001,0.0010001525939511249,0.0010000275184991116
BBOB_F1,10,69,177,1,1004.1255825062354,1.1816050017277843e-05,0.001,0.0010001525937272519,0.0010000341236292643
BBOB_F1,10,70,178,0,1023.6342493940919,1.0114824680108108e-05,0.001,0.001000635818723193,0.0010001150065409477
BBOB_F1,10,70,178,1,1011.4440942526958,1.159959487696089e-05,0.001,0.001000217997677282,0.0010000453232920862
BBOB_F1,10,71,179,0,1031.9778401843273,9.825999635852556e-06,0.0010000078603269891,0.0010002179971256796,0.0010001013182001513
BBOB_F1,10,71,179,1,1019.7213582172988,1.1268101178815051e-05,0.001,0.001000445973181353,0.0010001398953989097
BBOB_F1,10,72,180,0,1040.5710544257379,9.522048014439699e-06,0.001,0.001000315752308817,0.001000105231267027
BBOB_F1,10,72,180,1,1028.2585731898312,1.0918027261624046e-05,0.001,0.0010003114409814309,0.0010000963833742943
BBOB_F1,10,73,181,0,1048.122380335575,9.33758629165738e-06,0.001,0.0010004639393996898,0.0010000876908660302
BBOB_F1,10,73,181,1,1035.7485378256401,1.070568954549382e-05,0.001,0.0010001075521205557,0.0010000220408612345
BBOB_F1,10,74,182,0,1056.2082160173363,9.105028701613835e-06,0.001,0.0010004479636793351,0.0010001791854717342
BBOB_F1,10,74,182,1,1043.7669024781976,1.0438956200545285e-05,0.001,0.00100044494537853,0.0010001779781514124
BBOB_F1,10,75,183,0,1064.1061122317085,8.898970188593014e-06,0.001,0.0010000125658892662,0.001000006282944633
BBOB_F1,10,75,183,1,1051.5908041798166,1.0203337614435629e-05,0.001,0.0010000125658892662,0.001000006282944633
BBOB_F1,10,76,184,0,1072.355215261531,8.666591787995469e-06,0.001,0.0010001613913475178,0.0010000477362474304
BBOB_F1,10,76,184,1,1059.7778768279825,9.936211486462614e-06,0.001,0.0010000125658892662,0.0010000050263557065
BBOB_F1,10,77,185,0,1080.659297230711,8.43767962329861e-06,0.001,0.0010000553592213063,0.0010000110718442613
BBOB_F1,10,77,185,1,1068.0079662418773,9.674354230479221e-06,0.001,0.0010000553592213063,0.0010000110718442613
BBOB_F1,10,78,186,0,1088.066568260288,8.296801167717097e-06,0.001,0.001,0.0010000000000000002
BBOB_F1,10,78,186,1,1075.3579536418135,9.511692289295493e-06,0.001,0.0010009082620603426,0.0010000908262060345
BBOB_F1,10,79,187,0,1096.0195439846807,8.112259189447865e-06,0.001,0.0010000271232309507,0.0010000080231276584
BBOB_F1,10,79,187,1,1083.232385178152,9.30114447536223e-06,0.001,0.0010000754925772104,0.001000022623013929
BBOB_F1,10,80,188,0,1103.6996445965146,7.956784628845426e-06,0.001,0.0010002546415987855,0.0010000837188182993
BBOB_F1,10,80,188,1,1090.8461273521516,9.122688226252816e-06,0.001,0.0010002546415987855,0.0010000837188182993
BBOB_F1,10,81,189,0,1111.9961953775462,7.755133811314718e-06,0.001,0.0010005640546834175,0.0010001132437964
BBOB_F1,10,81,189,1,1099.0756533343488,8.891363069717479e-06,0.001,0.0010002618514175629,0.001000118883122118
BBOB_F1,10,82,190,0,1120.6520525790825,7.532094539245106e-06,0.001,0.0010000643934577336,0.0010000284131613459
BBOB_F1,10,82,190,1,1107.6748201543382,8.63458464380233e-06,0.001,0.0010000748098955153,0.0010000299281341934
BBOB_F1,10,83,191,0,1128.3187730127947,7.393892311135579e-06,0.001,0.0010005336574070323,0.0010000533657407034
BBOB_F1,10,83,191,1,1115.2690277417005,8.476527248902657e-06,0.001,0.001000278323433004,0.0010000619878974154
BBOB_F1,10,84,192,0,1136.508346003124,7.2201949488434735e-06,0.001,0.0010000366561496005,0.0010000036758461284
BBOB_F1,10,84,192,1,1123.386258523891,8.277743151556286e-06,0.001,0.0010000244216755267,0.001000004517511241
BBOB_F1,10,85,193,0,1144.7199850682255,7.050702752123207e-06,0.001,0.001000127129333349,0.0010000179486902645
BBOB_F1,10,85,193,1,1131.51936119423,8.084279090766744e-06,0.001,0.0010000790834272717,0.0010000083394108143
BBOB_F1,10,86,194,0,1152.9653680819697,6.884480324130152e-06,0.001,0.0010002241570149669,0.0010001120785074833
BBOB_F1,10,86,194,1,1139.6800474093661,7.89501635044235e-06,0.001,0.0010002241570149669,0.0010001120785074833
BBOB_F1,10,87,195,0,1160.5038409973408,6.77274899945792e-06,0.001,0.001,0.0010000000000000002
BBOB_F1,10,87,195,1,1147.1499052397894,7.7668952610439e-06,0.001,0.001,0.0010000000000000002
BBOB_F1,10,88,196,0,1168.0018482318103,6.666695777605882e-06,0.001,0.0010000750166171397,0.0010000265328562318
BBOB_F1,10,88,196,1,1154.6087582776106,7.642987300880225e-06,0.001,0.001000406507734556,0.0010000406507734555
BBOB_F1,10,89,197,0,1176.371520634948,6.505529323546962e-06,0.001,0.0010003713479673172,0.0010000971158890906
BBOB_F1,10,89,197,1,1162.9135593837686,7.457957093733374e-06,0.001,0.0010000826209785967,0.0010000224719780514
BBOB_F1,10,90,198,0,1184.7041951308374,6.352201947860449e-06,0.001,0.0010004325908862734,0.0010000986520849187
BBOB_F1,10,90,198,1,1171.179446927809,7.282069796103936e-06,0.001,0.0010000523371059642,0.0010000209348423857
BBOB_F1,10,91,199,0,1191.9206452324038,6.273965405642568e-06,0.001,0.0010000520147180844,0.0010000104029436172
BBOB_F1,10,91,199,1,1178.3184925902406,7.193038242580793e-06,0.001,0.0010000932850091,0.001000042978743384
BBOB_F1,10,92,200,0,1200.367832006106,6.121653488567133e-06,0.001,0.0010001096845150418,0.001000023003013746
BBOB_F1,10,92,200,1,1186.6938709136175,7.018656716684096e-06,0.001,0.0010003093292161448,0.0010000802005255423
BBOB_F1,10,93,201,0,1208.3974811376943,5.999373362892025e-06,0.001,0.0010003842500236266,0.0010000772850028371
BBOB_F1,10,93,201,1,1194.65249695873,6.878640536536537e-06,0.001,0.0010001525937630047,0.0010000395487167126
BBOB_F1,10,94,202,0,1216.7849369239893,5.85991410045156e-06,0.001,0.001000164987675614,0.0010000693952618544
BBOB_F1,10,94,202,1,1202.9724638052421,6.718682672543725e-06,0.001,0.00100022230948098,0.001000089674230416
BBOB_F1,10,95,203,0,1224.6956176536823,5.751978494201289e-06,0.001,0.001000083650079553,0.0010000493103713042
BBOB_F1,10,95,203,1,1210.8138868723536,6.594986255439049e-06,0.001,0.0010002180402721656,0.0010000436080544333
BBOB_F1,10,96,204,0,1232.8821424894031,5.6318091391529575e-06,0.001,0.001000449300176745,0.0010001941079857122
BBOB_F1,10,96,204,1,1218.927466475257,6.457493754355705e-06,0.001,0.0010001815988985958,0.001000071853993174
BBOB_F1,10,97,205,0,1241.3538461077524,5.499962794860564e-06,0.001,0.001000305714676496,0.0010000479974615769
BBOB_F1,10,97,205,1,1227.3384128705868,6.305846769485853e-06,0.001,0.0010004409889256066,0.0010000653429512439
BBOB_F1,10,98,206,0,1248.893534928008,5.4212727207203755e-06,0.001,0.0010001254909049145,0.0010000143442223633
BBOB_F1,10,98,206,1,1234.8195900157157,6.2150318464324335e-06,0.001,0.0010001254909049145,0.0010000143442223633
BBOB_F1,10,99,207,0,1257.3011609647824,5.29982209999855e-06,0.001,0.001000124766426854,0.0010000545269735542
BBOB_F1,10,99,207,1,1243.1610480820907,6.0756726179307505e-06,0.001,0.0010001526009827887,0.0010000763004913943
BBOB_F1,10,100,208,0,1266.6068045682443,5.137666435886982e-06,0.001,0.00100001503280979,0.0010000090281143909
BBOB_F1,10,100,208,1,1252.3975309234133,5.889826890226058e-06,0.001,0.0010000305770758767,0.00100001024581959
BBOB_F1,10,101,209,0,1274.5904003650426,5.045381315970418e-06,0.001,0.0010003706233473882,0.0010000524103919895
BBOB_F1,10,101,209,1,1260.3199726916796,5.783634841763834e-06,0.001,0.0010002608003191887,0.0010000639060784792
BBOB_F1,10,102,210,0,1282.4891660421836,4.9596145411005395e-06,0.001,0.001000175885056139,0.0010000819327663111
BBOB_F1,10,102,210,1,1268.1405543216886,5.6858547584292675e-06,0.001,0.0010003124861588924,0.001000125081561169
BBOB_F1,10,103,211,0,1290.8900966961983,4.852943707338789e-06,0.001,0.0010001275838408825,0.0010000428493571593
BBOB_F1,10,103,211,1,1276.45117927083,5.564723218323404e-06,0.001,0.001000522321750121,0.001000124861785467
BBOB_F1,10,104,212,0,1299.0373002743463,4.760923621028454e-06,0.001,0.0010000140442626092,0.0010000041901622628
BBOB_F1,10,104,212,1,1284.5221317516725,5.459609349858904e-06,0.001,0.0010002709810368,0.0010000740972107018
BBOB_F1,10,105,213,0,1307.547805748191,4.655579405764156e-06,0.001,0.0010001156520712832,0.0010000347039733591
BBOB_F1,10,105,213,1,1292.960215160958,5.339003655013732e-06,0.001,0.0010001156955403016,0.001000034717184513
BBOB_F1,10,106,214,0,1316.84943155977,4.519975279515277e-06,0.001,0.0010001413159966967,0.0010000363375446014
BBOB_F1,10,106,214,1,1302.2110252413172,5.182637312436771e-06,0.001,0.001000158837337553,0.0010000476512012659
BBOB_F1,10,107,215,0,1324.942375787639,4.439160144023123e-06,0.001,0.0010000523371059653,0.0010000261685529823
BBOB_F1,10,107,215,1,1310.2320172453356,5.090142093493503e-06,0.001,0.0010001290770079083,0.0010000316554371978
BBOB_F1,10,108,216,0,1333.381169876221,4.346576895172158e-06,0.001,0.0010000622813977498,0.001000022347987982
BBOB_F1,10,108,216,1,1318.593884483147,4.984374523672659e-06,0.001,0.001000313644369119,0.001000062728873824
BBOB_F1,10,109,217,0,1342.3975218095525,4.234152406850808e-06,0.001,0.0010002875478165216,0.0010000287549501684
BBOB_F1,10,109,217,1,1327.5399811063585,4.85553371660138e-06,0.001,0.0010003826594384363,0.0010000554457416516
BBOB_F1,10,110,218,0,1350.5574600294044,4.158170296101365e-06,0.001,0.0010001602879576303,0.0010000383161389563
BBOB_F1,10,110,218,1,1335.6387933930523,4.76807970416748e-06,0.001,0.0010001525935585457,0.0010000449114693716
BBOB_F1,10,111,219,0,1359.2537507334396,4.064270611596349e-06,0.001,0.0010004640790279577,0.001000104069667609
BBOB_F1,10,111,219,1,1344.2617638128104,4.660615020705297e-06,0.001,0.0010003157133461323,0.0010000986242308639
BBOB_F1,10,112,220,0,1367.49476122558,3.989795599396333e-06,0.001,0.0010003089565723906,0.0010000547090444982
BBOB_F1,10,112,220,1,1352.4254620962747,4.57558074658805e-06,0.001,0.0010002501949308521,0.0010000290063402015
BBOB_F1,10,113,221,0,1376.014536527864,3.907470828978719e-06,0.001,0.00100024857450703,0.0010000584363792225
BBOB_F1,10,113,221,1,1360.876697058261,4.481170749241821e-06,0.001,0.0010004173001503833,0.00100005008610086
BBOB_F1,10,114,222,0,1384.296312690322,3.835779239865048e-06,0.001,0.0010002883711194848,0.0010000788093738537
BBOB_F1,10,114,222,1,1369.061234027912,4.400092514482073e-06,0.001,0.0010004492572476312,0.001000132610710288
BBOB_F1,10,115,223,0,1392.9682159052556,3.7528744805978065e-06,0.001,0.0010001378244806076,0.0010000203339709287
BBOB_F1,10,115,223,1,1377.6626386362873,4.305063231962422e-06,0.001,0.0010004376501568295,0.0010000447126162488
BBOB_F1,10,116,224,0,1401.4071251445312,3.680125815542003e-06,0.001,0.0010001969984334144,0.001000048713740382
BBOB_F1,10,116,224,1,1386.0427989135728,4.221237893851145e-06,0.001,0.001000313553529528,0.001000078277066635
BBOB_F1,10,117,225,0,1409.596386145663,3.6174338864964394e-06,0.001,0.0010001054351856146,0.001000044144147133
BBOB_F1,10,117,225,1,1394.1555635069467,4.149619569848954e-06,0.001,0.0010002273726792124,0.0010000936746730562
BBOB_F1,10,118,226,0,1418.1815067880739,3.5439138963340127e-06,0.001,0.0010002179985038498,0.001000065399551155
BBOB_F1,10,118,226,1,1402.6947251751253,4.064468164289267e-06,0.001,0.0010002180019436505,0.0010000654005830952
