cfg,label,seed,file,n_header,n_footer,hdr_full,hdr_disp,ftr_run,ftr_disp,bad,ts_h_min,ts_h_max,ts_f_max,path
c122,BBOB_F37,42,exp_main_c122_BBOB_F37_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:27:10.460+00:00,2026-07-26T23:27:10.460+00:00,2026-07-26T23:53:04.762+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/BBOB_F37/42/exp_main_c122_BBOB_F37_42.jsonl
c122,BBOB_F55,42,exp_main_c122_BBOB_F55_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:43:07.607+00:00,2026-07-26T23:43:07.607+00:00,2026-07-27T00:10:44.372+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/BBOB_F55/42/exp_main_c122_BBOB_F55_42.jsonl
c122,WFG9,42,exp_main_c122_WFG9_42.jsonl,1,2,1,0,1,1,0,2026-07-27T00:18:04.820+00:00,2026-07-27T00:18:04.820+00:00,2026-07-27T06:04:32.599+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/WFG9/42/exp_main_c122_WFG9_42.jsonl
c122,WFG1,42,exp_main_c122_WFG1_42.jsonl,1,2,1,0,1,1,0,2026-07-27T03:14:10.642+00:00,2026-07-27T03:14:10.642+00:00,2026-07-27T06:51:41.055+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/WFG1/42/exp_main_c122_WFG1_42.jsonl
c122,MMF16_20,42,exp_main_c122_MMF16_20_42.jsonl,1,2,1,0,1,1,0,2026-07-27T04:40:06.379+00:00,2026-07-27T04:40:06.379+00:00,2026-07-27T06:42:49.161+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/MMF16_20/42/exp_main_c122_MMF16_20_42.jsonl
c122,DTLZ3,42,exp_main_c122_DTLZ3_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:57:44.066+00:00,2026-07-26T23:57:44.066+00:00,2026-07-27T00:35:27.049+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/DTLZ3/42/exp_main_c122_DTLZ3_42.jsonl
c122,BBOB_F1,42,exp_main_c122_BBOB_F1_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:25:37.136+00:00,2026-07-26T23:25:37.136+00:00,2026-07-26T23:43:02.124+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/BBOB_F1/42/exp_main_c122_BBOB_F1_42.jsonl
c122,DTLZ4,42,exp_main_c122_DTLZ4_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:58:22.538+00:00,2026-07-26T23:58:22.538+00:00,2026-07-27T01:00:34.472+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/DTLZ4/42/exp_main_c122_DTLZ4_42.jsonl
c122,MMF4,42,exp_main_c122_MMF4_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:25:37.137+00:00,2026-07-26T23:25:37.137+00:00,2026-07-26T23:27:04.925+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/MMF4/42/exp_main_c122_MMF4_42.jsonl
c122,MMF11_L,42,exp_main_c122_MMF11_L_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:25:37.129+00:00,2026-07-26T23:25:37.129+00:00,2026-07-26T23:27:01.996+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/MMF11_L/42/exp_main_c122_MMF11_L_42.jsonl
c122,DTLZ2,42,exp_main_c122_DTLZ2_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:55:31.104+00:00,2026-07-26T23:55:31.104+00:00,2026-07-27T00:17:59.277+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/DTLZ2/42/exp_main_c122_DTLZ2_42.jsonl
c122,ZDT3,42,exp_main_c122_ZDT3_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:58:57.585+00:00,2026-07-26T23:58:57.585+00:00,2026-07-27T04:40:00.881+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/ZDT3/42/exp_main_c122_ZDT3_42.jsonl
c122,ZDT4,42,exp_main_c122_ZDT4_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:46:44.611+00:00,2026-07-26T23:46:44.611+00:00,2026-07-26T23:58:52.168+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/ZDT4/42/exp_main_c122_ZDT4_42.jsonl
c122,BBOB_F49,42,exp_main_c122_BBOB_F49_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:27:21.640+00:00,2026-07-26T23:27:21.640+00:00,2026-07-26T23:57:38.456+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/BBOB_F49/42/exp_main_c122_BBOB_F49_42.jsonl
c122,BBOB_F22,42,exp_main_c122_BBOB_F22_42.jsonl,1,2,1,0,1,1,0,2026-07-26T23:27:07.569+00:00,2026-07-26T23:27:07.569+00:00,2026-07-26T23:46:38.928+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/BBOB_F22/42/exp_main_c122_BBOB_F22_42.jsonl
c122,WFG4,42,exp_main_c122_WFG4_42.jsonl,1,2,1,0,1,1,0,2026-07-27T00:35:32.642+00:00,2026-07-27T00:35:32.642+00:00,2026-07-27T06:12:35.641+00:00,/Users/gmello/Documents/python_repos/mestrado/resultados_experimentos/c122/WFG4/42/exp_main_c122_WFG4_42.jsonl
