problema,geracao,N,n_front_ev,n_front_rec,pos,sel_rec,ok_forte,in_front,cand_eucli,sig_pos,k_local
BBOB_F1,4,100,2,2,22,22,True,True,24.050343314488597,24.050342559814453,20
BBOB_F1,8,100,26,26,64,64,True,True,14.382332344882881,14.382332801818848,20
BBOB_F1,12,100,26,26,9,9,True,True,17.907145034678194,17.90714454650879,20
BBOB_F1,16,100,20,20,61,61,True,True,13.483626633922192,13.483626365661621,20
BBOB_F1,20,100,28,28,4,4,True,True,12.112431611608194,12.112431526184082,20
BBOB_F1,24,100,32,35,80,80,True,True,6.212191922705625,6.212192058563232,20
BBOB_F1,28,100,40,40,94,94,True,True,5.298278065172987,5.298277854919434,20
BBOB_F1,32,100,33,33,12,12,True,True,3.6469588120845495,3.646958827972412,20
BBOB_F1,36,100,33,33,90,90,True,True,5.110447815503402,5.110447883605957,20
BBOB_F1,40,100,43,43,73,73,True,True,16.445024515714078,16.445024490356445,20
BBOB_F1,44,100,37,41,79,79,True,True,9.265106316628566,9.265106201171875,20
BBOB_F1,48,100,28,30,15,15,True,True,6.052270179180279,6.052270412445068,20
BBOB_F1,52,100,36,37,37,37,True,True,3.9487126995383206,3.9487125873565674,20
BBOB_F1,56,100,39,39,53,53,True,True,2.8299213858262804,2.8299214839935303,20
BBOB_F1,60,100,32,32,82,82,True,True,2.580738701955502,2.5807387828826904,20
BBOB_F1,64,100,30,30,45,45,True,True,2.250077915019886,2.250077962875366,20
BBOB_F1,68,100,24,27,89,89,True,True,12.291928747377982,12.2919282913208,20
BBOB_F1,72,100,29,29,60,60,True,True,4.933487787288749,4.933487892150879,20
BBOB_F1,76,100,21,21,70,70,True,True,11.313810860952403,11.313811302185059,20
BBOB_F1,80,100,21,21,45,45,True,True,5.392439720125376,5.392439842224121,20
BBOB_F1,84,100,21,23,86,86,True,True,5.241901654445099,5.241901874542236,20
BBOB_F1,88,100,19,19,81,81,True,True,2.903808151257563,2.903808116912842,20
BBOB_F1,92,100,18,18,59,59,True,True,2.9122460653897586,2.912245988845825,20
BBOB_F1,96,100,18,18,35,35,True,True,2.01546555290709,2.015465497970581,20
BBOB_F1,100,100,19,19,28,28,True,True,2.7250302334662875,2.7250301837921143,20
BBOB_F1,104,100,23,24,9,9,True,True,2.2944965379552884,2.294496536254883,20
BBOB_F1,108,100,22,22,77,77,True,True,1.9273340504014007,1.9273340702056885,20
