ts,rec,name,solution_id,x_key,fe,geracao,estrategia,n,motivo,problema
2026-07-26T12:22:37Z,guard,cache_hit,0.0,80F7BC7AF40BE4BF,1.0,,,,,BBOB_F1
2026-07-26T12:22:40Z,guard,dedup_slot_perdido,,,,2.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:43Z,guard,dedup_slot_perdido,,,,6.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:45Z,guard,dedup_slot_perdido,,,,10.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:47Z,guard,dedup_slot_perdido,,,,14.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:49Z,guard,dedup_slot_perdido,,,,18.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:51Z,guard,dedup_slot_perdido,,,,22.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:53Z,guard,dedup_slot_perdido,,,,26.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:55Z,guard,dedup_slot_perdido,,,,30.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:57Z,guard,dedup_slot_perdido,,,,34.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:22:58Z,guard,dedup_slot_perdido,,,,38.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:23:01Z,guard,dedup_slot_perdido,,,,42.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F1
2026-07-26T12:23:58Z,guard,cand_vazio,,,,138.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:01Z,guard,cand_vazio,,,,142.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:04Z,guard,cand_vazio,,,,146.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:07Z,guard,cand_vazio,,,,150.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:10Z,guard,cand_vazio,,,,154.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:13Z,guard,cand_vazio,,,,158.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:16Z,guard,cand_vazio,,,,162.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:24:19Z,guard,cand_vazio,,,,166.0,s1,,estrategia nao produziu candidato (edge stock — ex.: rank-learning sem nivel-1),BBOB_F1
2026-07-26T12:23:51Z,guard,cache_hit,0.0,D8183742992E0E40,1.0,,,,,BBOB_F17
2026-07-26T12:23:54Z,guard,dedup_slot_perdido,,,,2.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:23:56Z,guard,dedup_slot_perdido,,,,6.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:23:58Z,guard,dedup_slot_perdido,,,,10.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:24:00Z,guard,dedup_slot_perdido,,,,14.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:24:03Z,guard,dedup_slot_perdido,,,,18.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:24:05Z,guard,dedup_slot_perdido,,,,22.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:24:06Z,guard,dedup_slot_perdido,,,,26.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:24:27Z,guard,dedup_slot_perdido,,,,66.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:24:42Z,guard,dedup_slot_perdido,,,,94.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F17
2026-07-26T12:26:02Z,guard,cache_hit,0.0,880900E8A90EFBBF,1.0,,,,,BBOB_F22
2026-07-26T12:26:05Z,guard,dedup_slot_perdido,,,,2.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
2026-07-26T12:26:07Z,guard,dedup_slot_perdido,,,,6.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
2026-07-26T12:26:09Z,guard,dedup_slot_perdido,,,,10.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
2026-07-26T12:26:11Z,guard,dedup_slot_perdido,,,,14.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
2026-07-26T12:26:13Z,guard,dedup_slot_perdido,,,,18.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
2026-07-26T12:26:15Z,guard,dedup_slot_perdido,,,,22.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
2026-07-26T12:26:17Z,guard,dedup_slot_perdido,,,,26.0,s1,1.0,"dedup eps=1e-5 STOCK rejeitou o candidato SEM gastar FE (slot perdido, nao o orcamento)",BBOB_F22
